epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1344.22,1.12396,2.97881,0.02707,0.35041,0.33634,0.31811,0.13277,1.74675,5.67037,0.07042,0.000848969,0.000848969,0.000848969
43,1377.53,1.24021,3.02006,0.03039,0.40523,0.35119,0.24243,0.1074,1.71669,5.83428,0.06771,0.000834822,0.000834822,0.000834822
44,1411.87,1.13789,2.66999,0.02656,0.37124,0.20833,0.24029,0.08524,1.93953,5.87245,0.08016,0.000820675,0.000820675,0.000820675
45,1451.45,1.1653,2.85766,0.02844,0.74187,0.08333,0.14027,0.04962,1.91431,5.99805,0.07748,0.000806528,0.000806528,0.000806528
46,1489.03,1.14738,2.75529,0.0285,0.42063,0.20833,0.17442,0.05289,2.0466,5.95538,0.08457,0.00079238,0.00079238,0.00079238
47,1531.63,1.24911,2.80209,0.0331,0.33151,0.29762,0.29471,0.1086,1.98501,5.5935,0.08274,0.000778233,0.000778233,0.000778233
48,1573.29,1.09115,2.72709,0.0267,0.3454,0.42603,0.4333,0.1861,1.94056,5.05768,0.07892,0.000764086,0.000764086,0.000764086
49,1615.39,1.13908,2.49354,0.02747,0.50684,0.3769,0.49083,0.21049,2.05237,4.90793,0.08581,0.000749939,0.000749939,0.000749939
50,1656.04,1.10099,2.46953,0.02649,0.58572,0.33725,0.52167,0.2133,2.07396,4.90768,0.08612,0.000735792,0.000735792,0.000735792
51,1695.87,1.0928,2.44854,0.02602,0.6082,0.27551,0.49043,0.19603,2.06095,4.89345,0.08541,0.000721645,0.000721645,0.000721645
52,1724.9,1.18822,2.40942,0.0294,0.3816,0.54762,0.53131,0.18691,1.91534,4.74347,0.08026,0.000707498,0.000707498,0.000707498
53,1752.56,1.09291,2.43465,0.02844,0.82645,0.38386,0.55717,0.19654,2.04891,4.60679,0.08965,0.000693351,0.000693351,0.000693351
54,1783.84,1.16685,2.40664,0.02981,0.54328,0.48414,0.53435,0.18777,1.87657,4.69942,0.079,0.000679204,0.000679204,0.000679204
55,1822.18,1.14556,2.33022,0.02884,0.67367,0.44985,0.52379,0.19605,1.81903,4.54946,0.07625,0.000665057,0.000665057,0.000665057
56,1856.43,1.07176,2.20252,0.02437,0.39955,0.6369,0.49821,0.21412,1.98676,4.1129,0.08356,0.000650909,0.000650909,0.000650909
57,1895.01,1.03162,2.15218,0.02545,0.43308,0.58929,0.51225,0.23053,1.92041,4.10037,0.0802,0.000636762,0.000636762,0.000636762
58,1936.89,1.18387,2.29661,0.02896,0.45114,0.61615,0.49811,0.22369,1.86218,4.12381,0.07808,0.000622615,0.000622615,0.000622615
59,1975.52,1.1027,2.17427,0.02668,0.41455,0.61665,0.49826,0.2243,1.81757,3.9996,0.07661,0.000608468,0.000608468,0.000608468
60,2015.32,1.10158,2.38329,0.02726,0.46217,0.46669,0.51118,0.23151,1.80374,4.12961,0.07576,0.000594321,0.000594321,0.000594321
61,2055.42,1.19091,2.27278,0.02897,0.43535,0.58929,0.48463,0.21441,2.04218,3.99888,0.08697,0.000580174,0.000580174,0.000580174
62,2094.17,0.99965,2.0981,0.02446,0.44025,0.56752,0.47518,0.20411,1.9617,4.0783,0.08356,0.000566027,0.000566027,0.000566027
63,2129.79,1.01057,2.01101,0.02363,0.52047,0.58333,0.53871,0.21307,2.01487,4.01037,0.08592,0.00055188,0.00055188,0.00055188
64,2169.36,1.13709,2.10834,0.02799,0.68982,0.43364,0.55205,0.20888,1.8367,4.06089,0.07676,0.000537733,0.000537733,0.000537733
65,2207.58,1.04317,2.05616,0.02629,0.65234,0.40476,0.5222,0.20673,1.72169,4.14309,0.07161,0.000523586,0.000523586,0.000523586
66,2245.86,1.03514,1.97593,0.02402,0.51068,0.4713,0.55132,0.19877,1.59389,4.24814,0.06508,0.000509438,0.000509438,0.000509438
67,2285.14,0.99808,1.93784,0.02429,0.56085,0.49178,0.58159,0.21159,1.82921,4.1312,0.07654,0.000495291,0.000495291,0.000495291
68,2324.51,0.97886,1.98574,0.02336,0.48483,0.53839,0.55136,0.22085,2.02827,3.91908,0.0846,0.000481144,0.000481144,0.000481144
69,2365.4,1.00514,1.89601,0.02457,0.4289,0.58333,0.53276,0.19879,1.8045,4.19803,0.07393,0.000466997,0.000466997,0.000466997
70,2403.09,1.03652,1.88491,0.02548,0.42589,0.57516,0.53408,0.21385,1.94505,4.08192,0.08026,0.00045285,0.00045285,0.00045285
71,2438.96,0.9309,1.8377,0.02081,0.58313,0.53923,0.52396,0.21045,2.04659,3.88463,0.08552,0.000438703,0.000438703,0.000438703
72,2473.06,0.9862,1.87933,0.02337,0.60592,0.4783,0.54132,0.21863,1.8739,3.79243,0.07828,0.000424556,0.000424556,0.000424556
73,2505.58,1.022,1.74979,0.02359,0.69119,0.49745,0.5581,0.21479,1.86512,3.76946,0.07864,0.000410409,0.000410409,0.000410409
74,2538.25,1.00316,1.90232,0.02399,0.68232,0.48631,0.54752,0.20536,1.83629,3.72034,0.07772,0.000396262,0.000396262,0.000396262
75,2569.36,0.92603,1.85089,0.02226,0.51684,0.49938,0.52494,0.19917,1.87277,3.6893,0.07901,0.000382115,0.000382115,0.000382115
76,2601.27,1.01555,1.80141,0.02439,0.42814,0.57162,0.51399,0.21917,1.87985,3.60355,0.07779,0.000367967,0.000367967,0.000367967
77,2632.27,0.96753,1.61509,0.0233,0.41093,0.58929,0.54475,0.24215,1.85852,3.57711,0.07609,0.00035382,0.00035382,0.00035382
78,2665.33,0.93343,1.86435,0.02179,0.52015,0.52277,0.55093,0.24702,1.96194,3.43284,0.0806,0.000339673,0.000339673,0.000339673
79,2702.53,1.018,1.8024,0.0245,0.44984,0.56006,0.58395,0.27223,1.82725,3.44449,0.07393,0.000325526,0.000325526,0.000325526
80,2737.69,0.94181,1.6206,0.02404,0.60349,0.42598,0.58678,0.27194,1.82048,3.43515,0.07364,0.000311379,0.000311379,0.000311379
81,2774.76,0.94544,1.70475,0.02418,0.56175,0.45238,0.59834,0.2771,1.81885,3.40501,0.07396,0.000297232,0.000297232,0.000297232
82,2810.53,0.92964,1.61716,0.02285,0.63968,0.5064,0.56841,0.2648,1.84482,3.38814,0.07584,0.000283085,0.000283085,0.000283085
83,2846.24,0.87974,1.5322,0.02039,0.61619,0.5591,0.55951,0.25299,1.89534,3.36359,0.07815,0.000268938,0.000268938,0.000268938
84,2878.21,0.86481,1.51538,0.02174,0.66366,0.44643,0.58281,0.24887,1.8173,3.46522,0.07389,0.000254791,0.000254791,0.000254791
85,2911.69,0.90265,1.58933,0.02116,0.48094,0.54533,0.55863,0.24417,1.91334,3.4414,0.07788,0.000240644,0.000240644,0.000240644
86,2947.38,0.96769,1.68703,0.02414,0.48152,0.55606,0.555,0.23779,1.95859,3.46692,0.07894,0.000226497,0.000226497,0.000226497
87,2988.81,0.95643,1.80568,0.0237,0.48191,0.5263,0.55727,0.23099,1.96142,3.46481,0.07896,0.000212349,0.000212349,0.000212349
88,5566.96,0.96803,1.59946,0.02252,0.89686,0.3971,0.63652,0.25724,1.96206,3.40958,0.07998,0.000198202,0.000198202,0.000198202
89,5603.25,0.90686,1.50409,0.02205,0.76219,0.40689,0.59232,0.2567,1.92441,3.4017,0.07853,0.000184055,0.000184055,0.000184055
90,5639.63,0.82244,1.55456,0.02032,0.86231,0.39732,0.58575,0.25449,1.91006,3.35155,0.078,0.000169908,0.000169908,0.000169908
91,5670.44,1.18038,2.41333,0.04502,0.66668,0.48154,0.59339,0.25509,1.90838,3.33437,0.0785,0.000155761,0.000155761,0.000155761
92,5699.31,1.02704,2.32436,0.03663,0.71686,0.39546,0.5261,0.21685,1.85531,3.3678,0.07696,0.000141614,0.000141614,0.000141614
93,5728.88,1.12457,2.53097,0.04053,0.71014,0.40476,0.5322,0.21341,1.89587,3.35549,0.07903,0.000127467,0.000127467,0.000127467
94,5759.05,1.0442,2.24726,0.03785,0.6096,0.44924,0.50795,0.21156,1.87369,3.36056,0.07833,0.00011332,0.00011332,0.00011332
95,5790.73,1.09775,2.28659,0.04144,0.58098,0.47428,0.55263,0.21736,1.85152,3.35044,0.07775,9.91726e-05,9.91726e-05,9.91726e-05
96,5820.94,1.10167,2.45969,0.04194,0.51295,0.46526,0.56359,0.24452,1.71772,3.48063,0.07111,8.50255e-05,8.50255e-05,8.50255e-05
97,5851.31,0.99566,2.1452,0.03872,0.51782,0.40476,0.53726,0.23621,1.6725,3.53705,0.06866,7.08784e-05,7.08784e-05,7.08784e-05
98,5882.78,0.94727,2.12168,0.03465,0.61178,0.40005,0.54037,0.24267,1.67431,3.53496,0.06839,5.67313e-05,5.67313e-05,5.67313e-05
99,5913.12,0.90778,2.06326,0.03447,0.49327,0.45136,0.53628,0.249,1.68379,3.52409,0.06839,4.25842e-05,4.25842e-05,4.25842e-05
100,5944.16,0.99801,2.18603,0.03817,0.63974,0.38366,0.54831,0.24916,1.80233,3.44746,0.07365,2.84371e-05,2.84371e-05,2.84371e-05
